Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
ERE28-20190627-03,E28,06-27-2019,674013,5446316,Yes,No,9:29,13:30,24.2,56,"Open aspen-oak forest with willow, hawthorn, and gray dogwood",1.1,3.4,5.3,8:30,9:00,9:30,06-26-2019,3,Approximately 2 m from recent bed. She was bedding in the area with at least two other collared females.,Very high,0
ERE23-20190627-05,E23,06-27-2019,675631,5451538,Yes,No,10:44,13:30,26.8,53.9,Shrubby aspen forest-willow swamp transition area with some balsam poplar and bog birch in understory,7.1,10.4,6.9,18:00,17:00,16:30,06-26-2019,0,Approximately 1 m from a bed,Very high,0
ERE21-20190628-01,E21,06-28-2019,672862,5452241,Yes,No,8:52,11:30,25,51,"Edge of wet aspen forest transition to wet meadow, in disturbed cattle pasture",10.2,9.3,11.8,13:30,13:00,14:00,06-27-2019,2,"About 10 m from two beds, one large and the other small (maybe calf). Not certain whether she is with others or has a calf.",Very high,0
ERE21-20190628-01 CALF,E21,06-28-2019,672862,5452241,Yes,No,8:52,11:30,25,51,"Edge of wet aspen forest transition to wet meadow, in disturbed cattle pasture",10.2,9.3,11.8,13:30,13:00,14:00,06-27-2019,2,"Smaller pellets that could have come from a calf, found less than 0.5 m from the larger sample with the same label",Very high,0
ERE29-20190628-02,E29,06-28-2019,675225,5451370,Yes,No,10:17,11:30,26.9,49.8,"Open edge of wet aspen forest with oak, willow, and wild rose ",2.4,12.2,14.2,15:30,15:00,16:00,06-27-2019,0,Looks like foraging area with no nearby beds.,Very high,0
ERE15-20190629-01,E15,06-29-2019,674188,5446195,Yes,No,8:45,11:25,17.5,61.2,"Shrubby prairie next to aspen-oak forest, tame species/disturbed ",24.6,25.8,,22:30,23:00,,06-28-2019,1,"Unsure, foraging trail. Saw E15 walking through this area ~8:00, and found fresh sample. Very unsure, will need to check most recent points from E15( and possibly others) ",Unsure,0
ERE19-20190629-02,E19,06-29-2019,674197,5446068,Yes,No,9:03,11:25,19.5,59.5,"Dense aspen-oak, choke cherry, saskatoon, hawthron",1.2,3,2.5,12:00,9:30,9:00,06-28-2019,0,"Very high confidence, sample found <1m from bed ",Very high,0
ERE18-20190630-01,E18,06-30-2019,675728,5452571,Yes,No,9:47,12:53,28.6,72,"Shrubby prairie with aspen encroachment, Canada goldenrod, golden alexanders, and northern bedstraw",9.6,10.5,13.7,3:30,3:00,2:30,06-30-2019,2,Looks like a foraging area. Two beds nearby,High,0
ERE23-20190630-02,E23,06-30-2019,676576,5453187,Yes,No,10:52,12:53,28.3,60.4,"Aspen oak forest with saskatoon, hazelnut, young aspen",10.9,13,21,4:00,4:30,6:00,06-30-2019,0,"Foraging area along trail. Looks like sample was rained on, and could have actually been from before the rain ended the previous night, and therefore possibly from q different elk. Not in a tight cluster of points.",Unsure,10
ERE32-20190703-01,E32,07-03-2019,674368,5446220,Yes,No,12:14,16:00,26.1,47.1,"Aspen oak forest, with gray dogwood, bog birch, hawthorn",5,4.6,5.5,11:30,13:30,10:30,07-02-2019,0,"Unsure, looks older then suspected time as per cluster (~24 hours, looks myabe 2-3 days) foraging area ",Unsure,0
ERE28-20190703-02,E28,07-03-2019,672614,5450973,Yes,No,14:06,16:00,28.5,41.5,"Edge of wet aspen forest, with willow, and balsam poplar ",7.1,7,7,12:00,14:30,15:00,07-02-2019,0,"Unsure, heavily disturbed, grazing, missing understory, sample in open grazing area ",Unsure,0
ERE21-20190704-01,E21,07-04-2019,673282,5451024,Yes,No,12:20,15:00,30.1,50,"Willow shrubland, next to forage field ",5.2,5.5,10.9,5:00,5:30,6:30,07-04-2019,0, Unsure. ~2m from recent bed. Foraging in area the previous night with 2 other collared elk and possibly more. Could also have been E29 (6.9m from her 5:30 point) and (9.6m form her 5:00am point) ,Unsure,0
ERE28-20190704-03,E28,07-04-2019,674066,5450550,Yes,No,13:03,15:00,29.8,50.2,"Young aspen forest w/ lots of deadfall, some american hazelnut and oak",3.5,4.1,,9:00,9:30,,07-04-2019,3,"Unsure, looks like ver active area, spooked 2 elk on the way in. Probably from animal foraging in the area. ",Unsure,0
ERE29-20190705-02,E29,07-05-2019,674342,5450649,Yes,No,9:01,11:15,21,48.6,"Tall Shrub land, (aspen(<2m), willow, red-oster dogwood, rasberry, wildrose)",0.4,1.9,1.7,14:00,14:30,12:30,07-04-2019,1,"High confidence , sample 1m from bed. In heavily used area. Only a couple meters from another bed (but could of bed a calf bed)",High,0
ERE20-20190705-03,E20,07-05-2019,673636,5456921,Yes,No,10:23,11:15,27.7,44.3,"Tall shrubland, (aspen, willow, balsam poplar, goseberry, red-oster dogwood ",1.5,4.6,6.8,11:30,11:00,12:30,07-04-2019,0,"High confidence, sample in forging area, but only 5m from bed. ",High,0
